Name	Type	Waves	Diff Low%	Diff High%	Planet	Notes
Ill-informed Factuality	Supernova	5	18%	23%	Talos	
Violent Bollworm	Supernova	5	34%	39%	Talos	
Common Trackside	Supernova	5	45%	50%	Talos	
Trifling Apple	Chicken Invasion	10	10%	20%	Talos	
Weary Hoofprint	Chicken Invasion	40	35%	75%	Talos	
Miniature Scorch	Squawk Block	14	48%	62%	Talos	
Focused Solubility	Chicken Invasion	9	84%	93%	Talos	
Cute Meetinghouse	Chicken Invasion	10	79%	89%	Talos	
Well-documented Backstory	Chicken Invasion	8	53%	61%	Talos	
Intent Somnolence	Chicken Invasion	36	52%	88%	Alpha Talos	
Faraway Pyrolysis	Comet Chase	5	9%	14%	Alpha Talos	
Misty Millipede	Boss Rush	7	73%	80%	Beta Talos	
Precious Blondness	Chicken Invasion	9	84%	93%	Beta Talos	
Upright Cybernetics	Chicken Invasion	10	3%	13%	Beta Talos	
Discrete Vertex	Squawk Block	10	83%	93%	Gamma Talos	
Impolite Glutamine	Boss Rush	4	6%	10%	Gamma Talos	
Lumbering Witchery	Supernova	12	1%	13%	Pothos	
Worthwhile Rebelliousness	Supernova	12	74%	86%	Pothos	
Elementary Transmittance	Supernova	14	59%	73%	Pothos	
Delicious Bibb	Chicken Invasion	10	52%	62%	Pothos	
Fearless Practicability	Chicken Invasion	12	86%	98%	Pothos	
Known Benthos	Comet Chase	15	34%	49%	Pothos	
Lasting Revolution	Feather Fields	11	58%	69%	Pothos	
Heavenly Hypercar	Chicken Invasion	7	93%	100%	Pothos	
Slushy Flimsy	Comet Chase	13	70%	83%	Pothos	
Impressionable Biped	Chicken Invasion	24	47%	71%	Alpha Pothos	
Vivacious Susurration	Chicken Invasion	24	35%	59%	Alpha Pothos	
Thunderous Delectation	Squawk Block	20	41%	61%	Alpha Pothos	
Foolhardy Apostolate	Squawk Block	14	65%	79%	Beta Pothos	
Alarmed Barberry	Chicken Invasion	10	12%	22%	Chi Pothos	
Thunderous Mall	Darkness	27	67%	94%	Chi Pothos	
False Fencerow	Feather Fields	13	35%	48%	Chi Pothos	
Scratchy Crafter	Chicken Invasion	24	5%	29%	Chi Pothos	
Orderly Chocolate	Chicken Invasion	7	84%	91%	Chi Pothos	
Posh Pushcart	Squawk Block	13	79%	92%	Phi Pothos	
Buoyant Gazette	Chicken Invasion	15	61%	76%	Phi Pothos	
Hasty Frisket	Chicken Invasion	7	92%	99%	Phi Pothos	
Probable Flautist	Chicken Invasion	20	42%	62%	Epsilon Pothos	
Detailed Priority	Chicken Invasion	10	32%	42%	Epsilon Pothos	
Regal Invitee	Squawk Block	15	97%	100%	Epsilon Pothos	
Harmonious Spearmint	Chicken Invasion	10	35%	45%	Epsilon Pothos	
Swift Breath	Darkness	18	65%	83%	Epsilon Pothos	
Tan Tastemaker	Chicken Invasion	32	59%	91%	Epsilon Pothos	
Monumental Waterspout	Darkness	24	7%	31%	Eta Pothos	
Studious Wife	Chicken Invasion	9	30%	39%	Eta Pothos	
Stark Centurion	Chicken Invasion	30	17%	47%	Eta Pothos	
Complete Contract	Supernova	11	47%	58%	Creusa	
Jam-packed Ratio	Chicken Invasion	20	53%	73%	Creusa	
Tense Jackknife	Chicken Invasion	24	31%	55%	Creusa	
Cumbersome Passenger	Chicken Invasion	18	6%	24%	Creusa	
Filthy Internode	Comet Chase	13	74%	87%	Alpha Creusa	
Watchful Limeade	Chicken Invasion	20	63%	83%	Alpha Creusa	
Everlasting Miseducation	Chicken Invasion	27	7%	34%	Chi Creusa	
Feisty Hypercar	Chicken Invasion	28	24%	52%	Chi Creusa	
Reckless Proposer	Feather Fields	13	92%	100%	Delta Creusa	
Gigantic Fishwife	Squawk Block	13	49%	62%	Delta Creusa	
Jagged Stromatolite	Boss Rush	6	82%	88%	Epsilon Creusa	
Frayed Voracity	Darkness	10	66%	76%	Tau Creusa	
Decent Deaconess	Chicken Invasion	18	79%	97%	Tau Creusa	
Similar Rebelliousness	Comet Chase	12	17%	29%	Tau Creusa	
Sardonic Inspection	Comet Chase	10	66%	76%	Tau Creusa	
Nocturnal Taxman	Chicken Invasion	24	17%	41%	Sigma Creusa	
Quarrelsome Titmouse	Comet Chase	10	69%	79%	Sigma Creusa	
Uniform Surfactant	Chicken Invasion	10	27%	37%	Sigma Creusa	
Cultured Explanation	Boss Rush	9	91%	100%	Sigma Creusa	
Portly Possibility	Boss Rush	7	1%	8%	Sigma Creusa	
Glamorous Bazar	Squawk Block	6	25%	31%	Theta Creusa	
Stimulating Funeral	Squawk Block	11	56%	67%	Pi Creusa	
Vivacious Soundscape	Chicken Invasion	21	28%	49%	Pi Creusa	
Hearty Conceptualist	Chicken Invasion	14	42%	56%	Pi Creusa	
Stingy Resistivity	Feather Fields	11	10%	21%	Pi Creusa	
Harmless Glutamine	Boss Rush	5	50%	55%	Pi Creusa	
Key Resistivity	Chicken Invasion	28	96%	100%	Omicron Creusa	
Corrupt Kingmaker	Comet Chase	8	56%	64%	Omicron Creusa	
Flickering Dirt	Chicken Invasion	40	52%	92%	Omicron Creusa	
Reflecting Recognizance	Squawk Block	16	55%	71%	Omicron Creusa	
Starry Gasifier	Supernova	8	91%	99%	Argea	
Crushing Delimitation	Supernova	6	26%	32%	Argea	
Unlined Sir	Supernova	14	18%	32%	Argea	
Cute Slipknot	Chicken Invasion	30	6%	36%	Argea	
Jaunty Squareness	Chicken Invasion	20	71%	91%	Argea	
Starry Sonority	Chicken Invasion	10	24%	34%	Argea	
Tan Unkindness	Feather Fields	6	60%	66%	Alpha Argea	
Wide-eyed Hidalgo	Darkness	9	10%	19%	Alpha Argea	
Evergreen Lodestar	Chicken Invasion	24	22%	46%	Alpha Argea	
Remorseful Biowarfare	Chicken Invasion	24	9%	33%	Alpha Argea	
Impressive Destruct	Chicken Invasion	32	68%	100%	Alpha Argea	
Fatherly Pasteboard	Squawk Block	10	60%	70%	Gamma Argea	
Testy Drib	Comet Chase	10	72%	82%	Delta Argea	
Light Amaranth	Darkness	9	34%	43%	Delta Argea	
Simple Subjunctive	Squawk Block	17	90%	100%	Delta Argea	
Closed Jib	Comet Chase	6	23%	29%	Delta Argea	
Broken Preapproval	Chicken Invasion	18	26%	44%	Delta Argea	
Gaseous Polltaker	Feather Fields	5	33%	38%	Delta Argea	
Early Cozy	Comet Chase	9	65%	74%	Epsilon Argea	
Complete Counteroffer	Chicken Invasion	32	46%	78%	Epsilon Argea	
Ashamed Imperium	Chicken Invasion	30	15%	45%	Zeta Argea	
Nice Kickball	Chicken Invasion	18	50%	68%	Zeta Argea	
Kindhearted Phonebook	Chicken Invasion	10	70%	80%	Zeta Argea	
Likable Predication	Feather Fields	7	21%	28%	Zeta Argea	
Original Heuristics	Chicken Invasion	9	45%	54%	Zeta Argea	
Harsh Astuteness	Supernova	12	23%	35%	Telesphorus	
Alienated Relinquishment	Supernova	10	57%	67%	Telesphorus	
Jovial Oddment	Chicken Invasion	6	48%	54%	Telesphorus	
Runny Poem	Chicken Invasion	30	95%	100%	Telesphorus	
Unlawful Mineshaft	Chicken Invasion	36	30%	66%	Telesphorus	
Whimsical Moonshot	Boss Rush	6	31%	37%	Telesphorus	
Ignorant Improbability	Chicken Invasion	10	28%	38%	Alpha Telesphorus	
Exalted Airshaft	Chicken Invasion	28	21%	49%	Alpha Telesphorus	
Forthright Bandbox	Squawk Block	19	38%	57%	Alpha Telesphorus	
Poised Queen	Chicken Invasion	20	98%	100%	Alpha Telesphorus	
Unpleasant Pinafore	Boss Rush	4	86%	90%	Alpha Telesphorus	
Measly Bedroom	Squawk Block	10	30%	40%	Beta Telesphorus	
Gargantuan Egoist	Boss Rush	3	84%	87%	Beta Telesphorus	
Tiny Malleability	Squawk Block	11	15%	26%	Beta Telesphorus	
Specific Scorekeeper	Comet Chase	6	90%	96%	Beta Telesphorus	
Nervous Counterforce	Feather Fields	5	44%	49%	Chi Telesphorus	
Sore Compulsiveness	Supernova	13	28%	41%	Limos	
Aromatic Hidalgo	Supernova	6	33%	39%	Limos	
Menacing Rounders	Supernova	9	15%	24%	Limos	
Reliable Dorado	Chicken Invasion	8	52%	60%	Limos	
